Formatted_Question,Answer_Hindi,Tamil_Translated
तैरना : नदी :: चढ़ना : ?,पर्वत,"**Translation:**

**Question:** तैरना : नदी :: चढ़ना : ?

**Options:**

A. सड़क
B. तालाब
C. पर्वत
D. समुद्र

**Answer:** C. पर्वत

**Translation:**

T तैरना : nadī :: chढ़na : kuru."
शेर : मांद :: खरगोश : ?,बिल,"**Translation:**

Question: शेर : मांद :: खरगोश : ?

Options:
A. छेद
B. गड्ढ़ा
C. बिल
D. खेत

**Translation in Tamil:**

கோழி : மண்ட :: கரோஷ் : ?

வினியங்கள்:
A. சதம்
B. கடல்
C. பில்
D. கेत"
गन्ध : फूल :: स्वाद : ?,भोजन,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** गन्ध : फूल :: स्वाद : ?

**Options:**
A. जल
B. नमक
C. भोजन
D. मीठा

**Translation:**

கனம் : மலம் :: சுவை : ?

**Options:**
a. நீர்
b. உப்பு
c. உணவம்
d. சரம்"
वर्षामापी : वर्षा :: सिस्मोग्राफ : ?,भूकम्प,"**Translation:**

**Question:** वर्षामापी : वर्षा :: सिस्मोग्राफ : ?

**Options:**

A. तापक्रम
B. प्रवाह धारा
C. भूकम्प
D. आर्द्रता

**Answer:** B

**Translation:**

Varshāmāpi : varshā :: sissmogrāph : ???

The analogy is between the words वर्षामापी and वर्षa, and between the words sissmogrāph and प्रवाह धारा. So, the answer is B."
धुआँ : प्रदूषण :: युद्ध : ?,विनाश,"**Translation:**

**Question:** धुआँ : प्रदूषण :: युद्ध : ?

**Options:**

A. शान्ति
B. विजय
C. समझौता
D. विनाश

**Answer:** C

**Translation:**

धुआँ प्रदूषण के लिए एक रेंगना है, और युद्ध के लिए एक रणनीति है।"
शिक्षक : स्कूल :: नर्स : ?,अस्पताल,"**Translation:**

**Question:** शिक्षक : स्कूल :: नर्स : ?

**Options:**

A. डॉक्टर
B. रोगी
C. दवाई
D. अस्पताल

**Answer:** A

**Translation:**

கல்வ्या teacher : स्कूल :: nurse : ?

கேள்வி: கல்வ्या teacher : स्कूल :: nurse : ?

வினியம்:

A. डॉक्टर
B. রोगी
C. दवाई
D. अस्पताल

சரியான பதவி: A"
चर्मकार : चमड़ा :: बढ़ई : ?,फर्नीचर,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** चर्मकार : चमड़ा :: बढ़ई : ?

**Options:**

A. फर्नीचर
B. लकड़ी
C. हथौड़ी
D. कुर्सी

**Translation:**

கோது காரம் : சமந்த :: பதவி : ?

**Options:**

a. பர்னிசர்
b. லக்காसी
c. হथौரி
d. குர்சி"
खिड़की : बढ़ई :: मूर्ति : ?,मूर्तिकार,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** खिड़की : बढ़ई :: मूर्ति : ?

**Options:**

A. मूर्तिकार
B. मिस्त्री
C. लुहार
D. सुनार

**Translation:**

கதவி : வளையம் :: மूर्ति : ?

**Options:**

a. மूर्तिकார
b. மித்திரி
c. லுहार
d. சங்கர"
हाथ : कलाई :: पैर : ?,टखना,"**Translation:**

**Question:** हाथ : कलाई :: पैर : ?

**Options:**

A. लम्बाई
B. जूता
C. टखना
D. टाँग

**Answer:** A

**Translation:**

கையை கलाई와 같ாக, পাருக்குடன் _________?

**Options:**

A. लम्बाई
B. ஜूता
C. টखना
D. টाँग

**Answer:** A"
दिल : कार्डियोलॉजिस्ट :: हड्डी : ?,ऑर्थोपोडिस्ट,"**Translation:**

**Question:** दिल : कार्डियोलॉजिस्ट :: हड्डी : ?

**Options:**

A. डर्मेटोलॉजिस्ट
B. ऑर्थोकेयर
C. ऑर्थोपोडिस्ट
D. ओथडोटिस

**Answer:** C. ऑर्थोपोडिस्ट

**Translation:**

Dil (heart) is related to Cardiology (cardiac surgeon) in the same way as Haddi (bone) is related to Orthopaedic surgeon (orthopaedist)."
पौधा : बीज :: फूल : ?,कली,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** पौधा : बीज :: फूल : ?

**Options:**
A. पत्ता
B. टहनी
C. कली
D. फल

**Translation:**

பौधा : விதா :: பூ : ?

**Options:**
a. பட்டா
b. தாநி
c. கली
d. பழம்"
बर्फ : शीतलता :: पृथ्वी : ?,गुरुत्वाकर्षण,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** बर्फ : शीतलता :: पृथ्वी : ?

**Options:**
A. वजन
B. जंगल
C. गुरुत्वाकर्षण
D. समुद्र

**Translation:**

**Question:** பனி : குளிர் :: பৃথ्वी : ?

**Options:**
a. எடை
b. காடு
c. கனoprecipitation
d. கடல்"
मैगजीन : सम्पादक :: नाटक : ?,निर्देशक,"**Translation:**

**Question:** मैगजीन : सम्पादक :: नाटक : ?

**Options:**

A. निर्देशक
B. खिलाड़ी
C. मैनेजर
D. अभिनेता

**Answer:** A

**Translation:**

Magazine : Editor :: Play : Director."
वीडियो प्लेयर : कैसेट :: कम्प्यूटर : ?,फ्लॉपी,"**Translation:**

**Question:** वीडियो प्लेयर : कैसेट :: कम्प्यूटर : ?

**Options:**

A. रील
B. रिकॉर्डिंग
C. फाइल
D. फ्लॉपी

**Answer:** C. फाइल

**Translation:**

Video प्लेयर : कैसेट :: கம্প्यूटर : File."
महाराष्ट्र : भारत :: टेक्सास : ?,यूएसए,"**Translation:**

கேடாष्ट्र : இந்தியா :: டெக்சাস : ?

**Answer:**

A. கனடா
B. மெக்சிக்கோ
C. ब्राजील
D. யுनाइट्स"
बुलबुल : बार्बल :: मेंढक : ?,क्रॉक,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** बुलबुल : बार्बल :: मेंढक : ?

**Options:**
A. येल्प
B. क्रॉक
C. क्रेकल
D. स्क्यूइक

**Translation:**

கூழம் : பர்சல் :: மண்டக : ?

**Options:**
a. இயல்
b. கரம்
c. கிரல்
d. சகுய்"
मतली : उबकाई :: जलना : ?,झुलसना,"**Translation:**

**Question:** मतली : उबकाई :: जलना : ?

**Options:**

A. ताजा
B. झुलसना
C. समझदार
D. गीला

**Answer:**

B. झुलसना

**Translation:**

Matli : Ubakai :: Jalna : Zhulsna."
रेशमकीट : रेशम :: नाग : ?,विष,"Sure, here is the translation of the analogy in Hindi to Tamil:

**Question:** रेशमकीट : रेशम :: नाग : ?

**Options:**
A. विषहर
B. विष
C. मृत्यु
D. भय

**Translation:**

கேடில் ஒரு மழைக்காட்டு : இழை :: நாக : ?

**Options:**
A. விஷம்
B. விஷ
C. இறப்பு
D. பயம்"
हृदय : कार्डियोलॉजिस्ट :: वृक्क : ?,नेफ्रोलॉजिस्ट,"Sure, here is the translation of the above analogy from Hindi to Tamil:

**Question:** हृदय : कार्डियोलॉजिस्ट :: वृक्क : ?

**Options:**

A. अन्त:स्राव विज्ञानी
B. ऑर्थोडाण्टिस्ट
C. नेफ्रोलॉजिस्ट
D. तन्त्रिका विज्ञानी

**Answer:** The answer is B.

**Translation:**

The analogy is between the heart and a cardiologist, and the trunk and an orthopedist."
