Tamil_Translated,Original_Hindi,Reversed_Hindi,Answer_Hindi
"கேள்வி: புத்தகம் : புத்தகங்கள் அலமார் :: பறவை : ?

விருப்பங்கள்:
A. பலம்
B. விலங்கு
C. மேற்கொண்டு
D. பறவை காடு

விடை: D. பறவை காடு",पुस्तक : पुस्तकालय :: चिड़िया : ?,"प्रश्न: किताब: किताबें अलमारी :: पक्षी: ?  
विकल्प:  
A. शक्ति  
B. जानवर  
C. ले जाओ  
D. पक्षी वन  
उत्तर: D. पक्षी वन",चिड़ियाघर
"கேள்வி: பாங்க் : பணம் :: வங்கி : ?  
விடை தேர்வு:  
A. ஊழியர்  
B. பணம்  
C. வாடிக்கையாளர்  
D. கட்டிடம்",बांध : पानी :: बैंक : ?,"प्रश्न: बैंक : धन :: बैंक : ?  
उत्तर चयन:  
A. कर्मचारी  
B. धन  
C. ग्राहक  
D. इमारत",रुपये
"கேள்வி: குளிர்ச்சியை நீக்குவது : குளிர்ச்சியை நீக்கும் தன்மை :: குளிர் : ?

விடை விருப்பங்கள்:
A. குளிர்ச்சி
B. குளிர்ச்சியை நீக்கும் தன்மை
C. குளிர்
D. பாறை

சரியான விடை: B. குளிர்ச்சியை நீக்கும் தன்மை",ग्रीष्म : ग्रीष्मनिष्क्रिता :: शीत : ?,"प्रश्न: ठंड दूर करना : ठंड दूर करने की विशेषता :: ठंड : ?  
उत्तर विकल्प:  
A. ठंड  
B. ठंड दूर करने की विशेषता  
C. ठंड  
D. पत्थर  

सही उत्तर: B. ठंड दूर करने की विशेषता",शीतनिष्क्रिता
"கேள்வி: ஆரோக்கியம் : நோய் :: மகிழ்ச்சி : ?

வினாடி வினாக்கள்:
A. மருந்து  
B. சிகிச்சை  
C. துன்பம்  
D. மகிழ்ச்சி கொண்ட தன்மை  

விடை: C. துன்பம்",स्वस्थ्य : बीमारी :: आनंद : ?,"प्रश्न: स्वास्थ्य : बीमारी :: खुशी : ?  
समय समाधान:  
A. दवा  
B. उपचार  
C. दुःख  
D. खुशी की विशेषता  

उत्तर: C. दुःख",दु:ख
"கேள்வி: ஈரம் : ஈரக்குறைவு :: காந்தம் : ?
விருப்பங்கள்:
A. பூமி
B. தாமிரம்
C. ஈரம்
D. கூட்டம்

விடை: C. ஈரம்",गुरुत्व : कर्ष :: चुम्बकत्व : ?,"प्रश्न: जल : अर्द्धजल :: चुंबकत्व : ?  
विकल्प:  
A. भूमि  
B. ताम्र  
C. जल  
D. समूह  

उत्तर: C. जल",आकर्षण
"கேள்வி: சிரம் : ஹெட் :: அங்குலி : ?

விருப்பங்கள்:
A. தச்சானா  
B. ஜுராப்  
C. கட்டா  
D. அங்குலி

விடை: D. அங்குலி",सिर : हैट :: अंगुली : ?,"प्रश्न: चिराग : सिर :: अंगुली : ?  
विकल्प:  
A. तस्साना  
B. जूता  
C. कट्टा  
D. अंगुली  
उत्तर: D. अंगुली",अंगूठी
"கேள்வி: முখ : அभிவ்யக்தி :: சங்கீதம் : ?

விருப்பங்கள்:
A. ஒலி  
B. கண்ணுடைமை  
C. தானி  
D. உபகரணம்  

விடை: A. ஒலி",मुख : अभिव्यक्ति :: संगीत : ?,"प्रश्न: मुख : व्यक्ति :: गान : ?  
विकल्प:  
A. ध्वनि  
B. आँखों की वस्तु  
C. तान  
D. उपकरण  

उत्तर: A. ध्वनि",धुन
"கேள்வி: நாள் : இரவு :: மாலை : ?

விருப்பங்கள்:
A. காலை
B. மதியம்
C. மாலை
D. முன்தினம்

விடை: A. காலை",दिवस : रात्रि :: गोधूलिवेला : ?,"प्रश्न: दिन : रात :: सायं : ?  
विकल्प:  
A. सुबह  
B. दोपहर  
C. सायं  
D. पिछला दिन  

उत्तर: A. सुबह",ऊषाकाल
"கேள்வி: பருமன் : குறைந்த பருமன் :: பைனா : ?

விடை தெரிவு:
A. காற்று இல்லாத
B. குத்தும்
C. கைத்தாள்
D. குறுக்கு கீறல்

விடை: B. குத்தும்",चौड़ा : संकीर्ण :: पैना : ?,"प्रश्न: भार : कम भार :: पैना : ? 

उत्तर चयन:
A. वायुरहित
B. कुत्ता
C. हाथी
D. छोटा चोट

उत्तर: B. कुत्ता",धारहीन
"கேள்வி: செவிமை : இசையாளர் :: புத்தகம் : ?

விருப்பங்கள்:
A. வெளியீட்டாளர்  
B. எழுத்தாளர்  
C. முத்துக்காரர்  
D. பிரச்சாரகர்  

சரியான பதில்: B. எழுத்தாளர்",स्वरसमता : संगीतकार :: पुस्तक : ?,"प्रश्न: कान की चाल : गायक :: किताब : ? 

विकल्प:
A. प्रकाशक  
B. लेखक  
C. मूत्र वाला  
D. प्रचारक  

सही उत्तर: B. लेखक",लेखक
"கேள்வி: பறவை : பறவை விஞ்ஞானி :: கீடு : ?

விடை விருப்பங்கள்:
A. விலங்கு விஞ்ஞானி  
B. உயிரியல் விஞ்ஞானி  
C. கீடு விஞ்ஞானி  
D. முத்திரை விஞ்ஞானி  

சரியான பதில்: C. கீடு விஞ்ஞானி",पक्षी : पक्षी वैज्ञानिक :: कीट : ?,"प्रश्न: पक्षी : पक्षी विज्ञानी :: कीट : ?  
विकल्प:  
A. जन्तु विज्ञानी  
B. जीवविज्ञानी  
C. कीट विज्ञानी  
D. छाप विज्ञानी  

सही उत्तर: C. कीट विज्ञानी",कीट वैज्ञानिक
"கேள்வி: கட்டார் : தவறு :: பெயர் : ?

விருப்பங்கள்:
A. கூட்டம்
B. மௌனம்
C. சாந்தி
D. கையேந்தியவர்

விடை: D. கையேந்தியவர்",गड़बड़ : दोष :: प्रवेशक : ?,"प्रश्न: कड़ा : गलत :: नाम : ?  
विकल्प:  
A. समूह  
B. मौन  
C. शांति  
D. हाथ धरे वाला  
उत्तर: D. हाथ धरे वाला",मार्गदर्शक
"கைது : நோய் :: போர் : ?  
வினாடி:  
A. படை  
B. தோல்வி  
C. படைக் கூடம்  
D. அழிவு  

விடை: D. அழிவு",कीड़ा : रोग :: युद्ध : ?,"गिरफ्तार : बीमारी :: युद्ध : ?  
समय:  
A. सेना  
B. हार  
C. सैन्य संगठन  
D. विनाश  

उत्तर: D. विनाश",विनाश
"கேள்வி: பான்சுரி வாசிப்பாளர் : பான்சுரி :: செலோ வாசிப்பாளர் : ?

விடை விருப்பங்கள்:
A. வைலின்
B. டிரம்ஸ்
C. மங்கிரா
D. வைலன்செலா

விடை: C. மங்கிரா",बाँसुरी वादक : बाँसुरी :: सेलोवादक : ?,"प्रश्न: पांचुरी वाल्या : पांचुरी :: सेलो वाल्या : ? 

विकल्प:
A. वैलिन 
B. ट्रम्स 
C. मंग्रा 
D. वैलेंसेला 

उत्तर: C. मंग्रा",वायलनसेला
"கேள்வி: எதிர்ப்பு : ஓம் :: மின்னோட்டம் : ?

வினாடி தேர்வு:
A. பேராட்டி  
B. ரேடியன்  
C. ஏம்பியர்  
D. வோல்ட்",प्रतिरोध : ओम :: विद्युतधारा : ?,"प्रश्न: विरोध : ओम :: विद्युत धारा : ?  
विकल्प:  
A. बैंड  
B. रेडियन  
C. एम्पियर  
D. वोल्ट",एम्पियर
"கேள்வி: சுவாசனம் : சுகந்தம் :: ஹீரோ : ?

விடை விருப்பங்கள்:
A. தரை
B. மிதமான சுவை
C. பூர்வியம்
D. கிரிஸ்டல்",सुवास : सुगन्ध :: शहद : ?,"प्रश्न: स्वासन : सुगंध :: हीरो : ?  
उत्तर प्रस्ताव:  
A. जमीन  
B. मध्यम रस  
C. पूर्वज  
D. क्रिस्टल",मिठास
"கேள்வி: பிரபலமான : செருகிய : பலமான : ?

விடை விருப்பங்கள்:
A. ஊட்டப்பட்ட
B. முன்னுரிமை
C. சுறுசுறுப்பான
D. காயர்

விடை: D. காயர்",प्रफुल्लित : रुखा :: बहादुर : ?,"प्रश्न: प्रसिद्ध : डाला गया : मजबूत : ? 

उत्तर विकल्प:
A. पोषित 
B. प्राथमिकता 
C. उत्साही 
D. चोट 

उत्तर: D. चोट",कायर
"கேள்வி: தலை : மூக்கு :: கை : ?

விடை விருப்பங்கள்:
A. கைவிரிப்பு  
B. காது  
C. மார்பு  
D. கால்தொட்டி  

விடை: A. கைவிரிப்பு",सिर : बाल :: हाथ : ?,"प्रश्न: सिर : नाक :: हाथ : ?  
विकल्प:  
A. हाथ फैलाना  
B. कान  
C. छाती  
D. पैर के टूटे हुए भाग  

उत्तर: A. हाथ फैलाना",उँगली
"கேள்வி: சவினய : வினம்மை :: நிராஷ்ரித : ?

விடை தேர்வு:
A. சம்பந்தம்  
B. பரிபூர்ணம்  
C. தொலைநோக்கி  
D. குறைந்த செல்வம்  

விளக்கம்: ""சவினய"" என்பது ""வினம்மை"" என்ற தொடரில் ஒரு மாற்றமாக அமைகிறது. இது ஒரு பொருளாதார சம்பந்தமான சொல்லின் மாற்றம் அல்லது மாற்றம். இதேபோல, ""நிராஷ்ரித"" என்பது ""குறைந்த செல்வம்"" என்று கூறப்படுகிறது. 

சரியான விடை: D. குறைந்த செல்வம்",सविनय : विनम्र :: निराश्रित : ?,"प्रश्न: सविनय : विनम्मई :: निराश्रित : ? 

विकल्प:
A. सम्बन्ध  
B. पूर्णता  
C. दूरदर्शी  
D. कम सम्पत्ति  

स्पष्टीकरण: ""सविनय"" शब्द ""विनम्मई"" शब्द श्रृंखला में एक परिवर्तन के रूप में व्यवहृत होता है। यह एक आर्थिक सम्बन्ध शब्द का परिवर्तन है। इसी तरह, ""निराश्रित"" को ""कम सम्पत्ति"" के रूप में",गरीब
"கேள்வி: செல்வது : ஓடுவது :: காற்று : ?

வினாடி தேர்வு:
A. மானசிக நிலை  
B. வாயு  
C. மழை  
D. காற்று வீசுதல்  

விடை: B. வாயு",चलना : दौड़ना :: पवन : ?,"प्रश्न: चलना : दौड़ना :: हवा : ?  
समय सीमा चयन:  
A. मानसिक स्थिति  
B. वायु  
C. बरसात  
D. हवा चलाना  

उत्तर: B. वायु",तूफान
"கேள்வி: லख்னௌ : உத்தர பிரதேசம் :: ராஞ்சி : ?
வினாடி வினாக்கள்:
A. ஓடிசா
B. ஜார்க்கண்ட்
C. உத்தராக்கண்ட்
D. சத்தீஸ்கர்",लखनऊ : उत्तर प्रदेश :: राँची : ?,"प्रश्न: लखनऊ : उत्तर प्रदेश :: रांची : ?  
समय आधारित प्रश्न:  
A. ओडिशा  
B. जार्कण्ड  
C. उत्तराखण्ड  
D. छत्तीसगढ़",झारखण्ड
"கேள்வி: படம் : பார்க்க முடியும் :: புத்தகம் : ?
விடை விருப்பங்கள்:
A. வாங்குதல்  
B. படிக்க முடியும்  
C. கேட்க முடியும்  
D. புத்தக நிலையம்  

சரியான விடை: B. படிக்க முடியும்",चित्र : देखना :: पुस्तक : ?,"प्रश्न: चित्र : देख सकते हैं :: पुस्तक : ?  
विकल्प:  
A. खरीदना  
B. पढ़ सकते हैं  
C. सुन सकते हैं  
D. पुस्तकालय  

सही उत्तर: B. पढ़ सकते हैं",पढ़ना
"கேள்வி: திருப்பும் : மனிதன் :: துன்புறும் : ?

வினாடி வினாக்கள்:
A. கோபம்  
B. உண்மை  
C. விலாபி  
D. மகிழ்ச்சி  

விடை: C. விலாபி",दयालु : परोपकारी :: दु:खी : ?,"प्रश्न: घुमाव : मनुष्य :: दुःख : ? 

समय आधारित प्रश्न:
A. क्रोध  
B. सत्य  
C. विलापी  
D. आनंद  

उत्तर: C. विलापी",विलापी
"கேள்வி: தேய்வது : ஆறு :: உயர்வது : ?
வினாடி:  
A. சாலை  
B. தாலாபம்  
C. பர்வதம்  
D. கடல்",तैरना : नदी :: चढ़ना : ?,"प्रश्न: बहाव : नदी :: ऊर्ध्वगति : ?  
समय:  
A. सड़क  
B. तालाप  
C. पर्वत  
D. सागर",पर्वत
"கேள்வி: சீறு : மாந்து :: குதிரை : ?  
முக்கியத்துவம்:  
A. குழு  
B. குழியாகும்  
C. குழியில்  
D. கொள்கை  

விடை: B. குழியாகும்",शेर : मांद :: खरगोश : ?,"प्रश्न: चिल्लाय : मानव :: घोड़ा : ?  
महत्व:  
A. समूह  
B. गड्ढा बन जाता है  
C. गड्ढे में  
D. नीति  

उत्तर: B. गड्ढा बन जाता है",बिल
"கைத்திரி : பூங்கா : : சுவை : ?  
வினாடி வினாக்கள்:  
A. நீர்  
B. உப்பு  
C. உணவு  
D. மிக்க சுவை  

விடை: D. மிக்க சுவை",गन्ध : फूल :: स्वाद : ?,"हाथी : बगीचा : : स्वाद : ?  
प्रश्न :  
A. पानी  
B. नमक  
C. खाना  
D. अत्यधिक स्वाद  

उत्तर: D. अत्यधिक स्वाद",भोजन
"கேள்வி: மழைக் காட்டியின் மழை :: சிஸ்மோகிராஃப் : ?

விருப்பங்கள்:
A. வெப்பநிலை
B. பாய்ச்சல் தொடர்
C. பூமியைக் குத்து
D. அடர்த்தி

சரியான பதில்: C. பூமியைக் குத்து",वर्षामापी : वर्षा :: सिस्मोग्राफ : ?,"प्रश्न: बरसात के दर्शक : भूकंपमापी :: ? 

विकल्प:
A. तापमान
B. बरसात की श्रृंखला
C. भूमि को चोटी
D. घनत्व

सही उत्तर: C. भूमि को चोटी",भूकम्प
"கேள்வி: கரை: மாசு :: போர் : ?
வினாடி:  
A. பொய்யை  
B. வெற்றி  
C. ஒப்பந்தம்  
D. நஷ்டம்",धुआँ : प्रदूषण :: युद्ध : ?,"प्रश्न: कर रेखा: दूषित :: युद्ध : ?  
समय:  
A. झूठ  
B. जीत  
C. समझौता  
D. नुकसान",विनाश
"கேள்வி: ஆசிரியர் : கல்லூரி :: நர்ஸ் : ?

வினாடி வினாக்கள்:
A. மருத்துவர்  
B. நோயாளி  
C. மருநோய்  
D. மருத்துவமனை  

விடை: D. மருத்துவமனை",शिक्षक : स्कूल :: नर्स : ?,"प्रश्न: शिक्षक : संस्थान :: नर्स : ?  
समय आधारित प्रश्न:  
A. चिकित्सक  
B. रोगी  
C. रोग  
D. अस्पताल  

उत्तर: D. अस्पताल",अस्पताल
"கேள்வி: சர்மகார : சம்பல் :: பட்டையார் : ?

வினாடிகள்:
A. பொறி
B. காய்கறி
C. பெட்டியா
D. குர்சி

விடை: B. காய்கறி",चर्मकार : चमड़ा :: बढ़ई : ?,"प्रश्न: सर्मकार : संपल् :: पट्टीयार : ?  
विकल्प:  
A. पॉरी  
B. खाद्यान्न  
C. पेट्टीया  
D. कुर्सी  
उत्तर: B. खाद्यान्न",फर्नीचर
"கேள்வி: படுகை : பூச்சுக்கொடி :: படைப்பு : ?  
முகவரிகள்:  
A. படைப்பாளி  
B. மிஸ்த்ரி  
C. லுஹார்  
D. சுனார்  

விடை: A. படைப்பாளி",खिड़की : बढ़ई :: मूर्ति : ?,"प्रश्न: आसन : कीड़ा :: निर्माण : ?  
पता:  
A. निर्माता  
B. मिस्त्री  
C. लुहार  
D. सुनार  

उत्तर: A. निर्माता",मूर्तिकार
"கை : கால் :: கால் : ?  
வினாடி வினாக்கள்:  
A. நீளம்  
B. காலணி  
C. தடியம்  
D. கால்  

(வினா: கை : கால் :: கால் : ?)  
(வினாக்கள்: A. நீளம், B. காலணி, C. தடியம், D. கால்)",हाथ : कलाई :: पैर : ?,"हाथ : पैर :: पैर : ?  
प्रश्न:  
A. लंबाई  
B. जूता  
C. चौड़ाई  
D. पैर  

(प्रश्न: हाथ : पैर :: पैर : ?)  
(विकल्प: A. लंबाई, B. जूता, C. चौड़ाई, D. पैर)",टखना
"கேள்வி: தலை : கார்டியோலஜிஸ்ட :: எலும்பு : ?

வினாடி வினாக்கள்:
A. டர்மாடோலஜிஸ்ட்  
B. ஓர்தோகீர்  
C. ஓர்தோபெடிஸ்ட்  
D. ஓத்தோடோடிஸ்",दिल : कार्डियोलॉजिस्ट :: हड्डी : ?,"प्रश्न: सिर : कार्डियोलॉजिस्ट :: हड्डी : ?  
समय आधारित प्रश्न:  
A. डर्माटोलॉजिस्ट  
B. ओर्थोगीर  
C. ओर्थोपेडिस्ट  
D. ओडोटोडाइस्ट",ऑर्थोपोडिस्ट
"கேள்வி: பூமி : விதை :: மலர் : ?
விருப்பங்கள்:
A. இலை
B. கிளை
C. குறை
D. பழம்

விடை: D. பழம்",पौधा : बीज :: फूल : ?,"प्रश्न: पृथ्वी : बीज :: मलर : ?  
विकल्प:  
A. पत्ती  
B. शाखा  
C. कमी  
D. फल  

उत्तर: D. फल",कली
"கேள்வி: பனி : குளிர் :: பூமி : ?

வினாடி வினாக்கள்:
A. எடை
B. காடு
C. ஈர்ப்பு
D. கடல்

விடை: C. ஈர்ப்பு",बर्फ : शीतलता :: पृथ्वी : ?,"प्रश्न: बर्फ : ठंड :: भूमि : ?  
समय आधारित प्रश्न:  
A. भार  
B. जंगल  
C. आकर्षण  
D. समुद्र  

उत्तर: C. आकर्षण",गुरुत्वाकर्षण
"கேள்வி: மாகசின் : செய்தித்துறையாளர் :: நாடகம் : ?

வினாடி விடை:
A. இயக்குனர்  
B. விளையாட்டு வீரர்  
C. மேலாளர்  
D. நடிகர்",मैगजीन : सम्पादक :: नाटक : ?,"प्रश्न: मागसिन : समाचारकर्ता :: नाटक : ?  
समय उत्तर:  
A. निर्माता  
B. खेल के खिलाड़ी  
C. प्रबंधक  
D. अभिनेता",निर्देशक
"கேள்வி: வீடியோ ப்ளேயர் : கேஸட் :: கம்ப்யூட்டர் : ?

விடை தேர்வு:
A. ரீல்  
B. ரிகார்டிங்  
C. ஃபைல்  
D. ஃப்ளாபி",वीडियो प्लेयर : कैसेट :: कम्प्यूटर : ?,"प्रश्न: वीडियो प्लेयर : केसेट :: कंप्यूटर : ?  
उत्तर चयन:  
A. रील  
B. रिकॉर्डिंग  
C. फाइल  
D. फ्लैपी",फ्लॉपी
"கேள்வி: மகாராஷ்டிரா : இந்தியா :: டெக்ஸாஸ் : ?

விடை விருப்பங்கள்:
A. கனடா  
B. மெக்சிகோ  
C. பிராசில்  
D. யூ.எஸ்.ஏ.  

விடை: D. யூ.எஸ்.ஏ.",महाराष्ट्र : भारत :: टेक्सास : ?,"प्रश्न: महाराष्ट्र : भारत :: टेक्सास : ?  
विकल्प:  
A. कनाडा  
B. मेक्सिको  
C. ब्राजील  
D. संयुक्त राज्य अमेरिका  
उत्तर: D. संयुक्त राज्य अमेरिका",यूएसए
"கேள்வி: புல்லுல் : பார்பல :: மெஞ்சில் : ?

விருப்பங்கள்:
A. யெல்ப்  
B. க்ராக்  
C. க்ரேக்கல்  
D. ச்கியூயிக்",बुलबुल : बार्बल :: मेंढक : ?,"प्रश्न: घास : बर्बल :: बर्बल : ?  
विकल्प:  
A. येल्प  
B. क्रैक  
C. क्रैकल  
D. स्क्यूयिक",क्रॉक
"கேள்வி: மத்தியில் : உப்பாய் :: நீர்நிலை : ?

விடை விருப்பங்கள்:
A. தாஜா  
B. ஜலாச்சு  
C. சமாதானம்  
D. காற்று நிரம்பிய  

விடை: B. ஜலாச்சு",मतली : उबकाई :: जलना : ?,"प्रश्न: मध्य में : नमक के बर्तन :: जल : ? 

विकल्प:
A. ताजा  
B. जलाशय  
C. समाधान  
D. वायु भरा  

उत्तर: B. जलाशय",झुलसना
"கேள்வி: ரேசம்கீடு : ரேசம் :: நாகம் : ?

வினாடி:  
A. விஷஹர்  
B. விஷம்  
C. மரணம்  
D. பயம்",रेशमकीट : रेशम :: नाग : ?,"प्रश्न: रेसम्कीटू : रेसम :: नागम : ?  
समय:  
A. विषहर  
B. विषम  
C. मृत्यु  
D. डर",विष
"கேள்வி: இதய : கார்டியோலாஜிஸ்ட :: விருத்தி : ?

விரைவு வினாக்கள்:
A. உடல் செரிமான மருத்துவர்  
B. ஓர்தோடாண்டிஸ்ட்  
C. நெஃப்ரோலாஜிஸ்ட்  
D. நரம்பு மருத்துவர்  

சரியான பதில்: C. நெஃப்ரோலாஜிஸ்ட்",हृदय : कार्डियोलॉजिस्ट :: वृक्क : ?,"प्रश्न: हृदय : कार्डियोलॉजिस्ट :: विकास : ?  
विकल्प:  
A. शारीरिक अपचय चिकित्सक  
B. ऑर्थोडॉन्टिस्ट  
C. नेफ्रोलॉजिस्ट  
D. तंत्रिका चिकित्सक  

सही उत्तर: C. नेफ्रोलॉजिस्ट",नेफ्रोलॉजिस्ट
